000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-04
000.000 Log file "afb.log", TCP port 59144, debug mask 0x03
000.000 Station A is waiting for station B on TCP port 59144 ... Done.
000.441 New epoch: Sun May 19 16:56:17 2019
000.442 =================================================================
000.442 
000.442 Designed by yu, build: May 19 2019  16:55:51
021.843 Recv DATA 22 34, ID 20022
022.066 Send DATA 40 22, ID 10040
022.115 Recv DATA 23 35, ID 20023
022.345 Send DATA 41 23, ID 10041
022.363 **** Receiver Error, Bad CRC Checksum
022.600 Send DATA 42 23, ID 10042
022.649 Recv DATA 25 37, ID 20025
022.872 Send DATA 43 23, ID 10043
022.904 Recv DATA 26 37, ID 20026
023.128 Send DATA 44 23, ID 10044
023.177 Recv DATA 27 37, ID 20027
023.320 ---- DATA 38 timeout
023.321 Send DATA 38 23, ID 10038
023.430 Recv DATA 28 37, ID 20028
023.653 Send DATA 39 23, ID 10039
023.702 Recv DATA 29 37, ID 20029
023.925 Send DATA 40 23, ID 10040
023.958 Recv DATA 30 37, ID 20030
024.179 Send DATA 41 23, ID 10041
024.227 Recv DATA 24 37, ID 20024
024.228 .... 25 packets received, 2177 bps, 27.22%, Err 19 (1.0e-04)
024.450 Send DATA 42 24, ID 10042
024.483 Recv DATA 25 37, ID 20025
024.707 Send DATA 43 25, ID 10043
024.756 **** Receiver Error, Bad CRC Checksum
024.977 Send DATA 44 25, ID 10044
025.009 Recv DATA 27 38, ID 20027
025.248 Send DATA 45 25, ID 10045
025.280 Recv DATA 28 38, ID 20028
025.424 ---- DATA 39 timeout
025.425 Send DATA 39 25, ID 10039
025.538 **** Receiver Error, Bad CRC Checksum
025.777 Send DATA 40 25, ID 10040
025.809 Recv DATA 30 38, ID 20030
026.031 Send DATA 41 25, ID 10041
026.080 Recv DATA 31 38, ID 20031
026.304 Send DATA 42 25, ID 10042
026.353 Recv DATA 32 38, ID 20032
026.561 Send DATA 43 25, ID 10043
026.594 Recv DATA 26 38, ID 20026
026.595 .... 27 packets received, 2136 bps, 26.70%, Err 21 (1.0e-04)
026.818 Send DATA 44 26, ID 10044
026.867 Recv DATA 27 39, ID 20027
027.089 Send DATA 45 27, ID 10045
027.122 **** Receiver Error, Bad CRC Checksum
027.358 Send DATA 46 27, ID 10046
027.390 Recv DATA 29 41, ID 20029
027.614 Send DATA 47 27, ID 10047
027.646 Recv DATA 30 42, ID 20030
027.887 Send DATA 48 27, ID 10048
027.919 Recv DATA 31 43, ID 20031
028.143 Send DATA 49 27, ID 10049
028.190 Recv DATA 32 44, ID 20032
028.410 Send DATA 50 27, ID 10050
028.442 Recv DATA 33 45, ID 20033
028.681 Send DATA 51 27, ID 10051
028.713 Recv DATA 34 46, ID 20034
028.936 Send DATA 52 27, ID 10052
028.969 Recv DATA 28 47, ID 20028
028.970 .... 29 packets received, 2102 bps, 26.27%, Err 24 (1.1e-04)
029.209 Send DATA 53 28, ID 10053
029.241 **** Receiver Error, Bad CRC Checksum
029.463 Send DATA 54 28, ID 10054
029.511 Recv DATA 30 47, ID 20030
029.642 ---- DATA 48 timeout
029.642 Send DATA 48 28, ID 10048
029.768 Recv DATA 31 47, ID 20031
029.997 Send DATA 49 28, ID 10049
030.030 Recv DATA 32 47, ID 20032
030.255 Send DATA 50 28, ID 10050
030.303 Recv DATA 33 47, ID 20033
030.528 Send DATA 51 28, ID 10051
030.576 Recv DATA 34 47, ID 20034
030.784 Send DATA 52 28, ID 10052
030.817 Recv DATA 35 47, ID 20035
031.056 Send DATA 53 28, ID 10053
031.072 Recv DATA 29 48, ID 20029
031.073 .... 30 packets received, 2024 bps, 25.30%, Err 24 (9.8e-05)
031.312 Send DATA 54 29, ID 10054
031.344 Recv DATA 30 49, ID 20030
031.584 Send DATA 55 30, ID 10055
031.617 Recv DATA 31 49, ID 20031
031.840 Send DATA 56 31, ID 10056
031.873 Recv DATA 32 49, ID 20032
032.032 ---- DATA 50 timeout
032.032 Send DATA 50 32, ID 10050
032.143 Recv DATA 33 49, ID 20033
032.365 Send DATA 51 33, ID 10051
032.398 Recv DATA 34 49, ID 20034
032.637 Send DATA 52 34, ID 10052
032.669 Recv DATA 35 49, ID 20035
032.894 Send DATA 53 35, ID 10053
032.925 Recv DATA 36 49, ID 20036
033.163 Send DATA 54 36, ID 10054
033.195 Recv DATA 37 49, ID 20037
033.196 .... 38 packets received, 2396 bps, 29.95%, Err 24 (9.2e-05)
033.433 Send DATA 55 37, ID 10055
033.466 Recv DATA 38 49, ID 20038
033.689 Send DATA 56 38, ID 10056
033.722 Recv DATA 39 49, ID 20039
033.945 ---- DATA 50 timeout
033.945 Send DATA 50 39, ID 10050
033.993 Recv DATA 40 49, ID 20040
034.214 Send DATA 51 40, ID 10051
034.247 Recv DATA 41 49, ID 20041
034.484 Send DATA 52 41, ID 10052
034.516 Recv DATA 42 49, ID 20042
034.740 Send DATA 53 42, ID 10053
034.773 Recv DATA 43 49, ID 20043
035.012 Send DATA 54 43, ID 10054
035.044 **** Receiver Error, Bad CRC Checksum
035.279 Send DATA 55 43, ID 10055
035.312 **** Receiver Error, Bad CRC Checksum
035.536 Send DATA 56 43, ID 10056
035.584 Recv DATA 46 51, ID 20046
035.807 Send DATA 57 43, ID 10057
035.839 Recv DATA 47 52, ID 20047
036.061 Send DATA 58 43, ID 10058
036.108 Recv DATA 48 53, ID 20048
036.330 Send DATA 59 43, ID 10059
036.362 Recv DATA 49 54, ID 20049
036.601 Send DATA 60 43, ID 10060
036.633 **** Receiver Error, Bad CRC Checksum
036.855 Send DATA 61 43, ID 10061
036.886 Recv DATA 44 54, ID 20044
036.887 .... 45 packets received, 2548 bps, 31.85%, Err 27 (9.3e-05)
037.031 ---- DATA 55 timeout
037.032 Send DATA 55 44, ID 10055
037.160 Recv DATA 45 54, ID 20045
037.383 Send DATA 56 45, ID 10056
037.415 **** Receiver Error, Bad CRC Checksum
037.655 Send DATA 57 45, ID 10057
037.688 **** Receiver Error, Bad CRC Checksum
037.908 Send DATA 58 45, ID 10058
037.956 Recv DATA 48 54, ID 20048
038.178 Send DATA 59 45, ID 10059
038.211 Recv DATA 49 54, ID 20049
038.449 Send DATA 60 45, ID 10060
038.482 Recv DATA 50 55, ID 20050
038.705 Send DATA 61 45, ID 10061
038.753 Recv DATA 51 56, ID 20051
038.976 Send DATA 62 45, ID 10062
039.009 Recv DATA 52 56, ID 20052
039.228 Send DATA 63 45, ID 10063
039.276 Recv DATA 46 56, ID 20046
039.277 .... 47 packets received, 2496 bps, 31.20%, Err 31 (1.0e-04)
039.419 ---- DATA 57 timeout
039.419 Send DATA 57 46, ID 10057
039.530 Recv DATA 47 56, ID 20047
039.768 Send DATA 58 47, ID 10058
039.801 Recv DATA 48 56, ID 20048
040.022 Send DATA 59 48, ID 10059
040.055 Recv DATA 49 56, ID 20049
040.296 Send DATA 60 49, ID 10060
040.328 Recv DATA 50 56, ID 20050
040.553 Send DATA 61 50, ID 10061
040.585 Recv DATA 51 56, ID 20051
040.822 Send DATA 62 51, ID 10062
040.855 Recv DATA 52 56, ID 20052
041.075 Send DATA 63 52, ID 10063
041.107 Recv DATA 53 56, ID 20053
041.342 ---- DATA 57 timeout
041.342 Send DATA 57 53, ID 10057
041.375 Recv DATA 54 56, ID 20054
041.375 .... 55 packets received, 2770 bps, 34.63%, Err 31 (9.5e-05)
041.614 Send DATA 58 54, ID 10058
041.647 Recv DATA 55 56, ID 20055
041.869 Send DATA 59 55, ID 10059
041.901 Recv DATA 56 56, ID 20056
042.139 Send DATA 60 56, ID 10060
042.171 Recv DATA 57 56, ID 20057
042.395 Send DATA 61 57, ID 10061
042.444 Recv DATA 58 56, ID 20058
042.665 Send DATA 62 58, ID 10062
042.698 Recv DATA 59 57, ID 20059
042.936 Send DATA 63 59, ID 10063
042.952 Recv DATA 60 58, ID 20060
043.189 Send DATA 0 60, ID 10064
043.221 Recv DATA 61 59, ID 20061
043.459 Send DATA 1 61, ID 10065
043.492 **** Receiver Error, Bad CRC Checksum
043.730 Send DATA 2 61, ID 10066
043.746 Recv DATA 63 61, ID 20063
043.981 Send DATA 3 61, ID 10067
044.012 **** Receiver Error, Bad CRC Checksum
044.251 Send DATA 4 61, ID 10068
044.284 Recv DATA 1 62, ID 20065
044.507 Send DATA 5 61, ID 10069
044.555 Recv DATA 2 62, ID 20066
044.699 ---- DATA 63 timeout
044.699 Send DATA 63 61, ID 10063
044.825 Recv DATA 3 62, ID 20067
045.047 Send DATA 0 61, ID 10064
045.080 Recv DATA 4 62, ID 20068
045.304 Send DATA 1 61, ID 10065
045.352 Recv DATA 62 62, ID 20062
045.353 .... 63 packets received, 2890 bps, 36.13%, Err 33 (9.2e-05)
045.577 Send DATA 2 62, ID 10066
045.625 Recv DATA 63 62, ID 20063
045.833 Send DATA 3 63, ID 10067
045.865 Recv DATA 0 62, ID 20064
046.103 Send DATA 4 0, ID 10068
046.135 Recv DATA 1 62, ID 20065
046.356 Send DATA 5 1, ID 10069
046.388 **** Receiver Error, Bad CRC Checksum
046.627 ---- DATA 63 timeout
046.627 Send DATA 63 1, ID 10063
046.676 Recv DATA 3 62, ID 20067
046.897 Send DATA 0 1, ID 10064
046.929 Recv DATA 4 62, ID 20068
047.149 Send DATA 1 1, ID 10065
047.196 Recv DATA 5 62, ID 20069
047.418 Send DATA 2 1, ID 10066
047.465 Recv DATA 6 62, ID 20070
047.689 Send DATA 3 1, ID 10067
047.721 Recv DATA 7 62, ID 20071
047.943 Send DATA 4 1, ID 10068
047.991 Recv DATA 8 63, ID 20072
048.212 Send DATA 5 1, ID 10069
048.244 Recv DATA 2 0, ID 20066
048.245 .... 67 packets received, 2887 bps, 36.08%, Err 34 (8.9e-05)
048.467 Send DATA 6 2, ID 10070
048.516 Recv DATA 3 1, ID 20067
048.739 Send DATA 7 3, ID 10071
048.772 Recv DATA 4 2, ID 20068
049.009 Send DATA 8 4, ID 10072
049.042 Recv DATA 5 3, ID 20069
049.265 Send DATA 9 5, ID 10073
049.313 Recv DATA 6 4, ID 20070
049.537 Send DATA 10 6, ID 10074
049.569 Recv DATA 7 4, ID 20071
049.791 Send DATA 11 7, ID 10075
049.838 **** Receiver Error, Bad CRC Checksum
049.980 ---- DATA 5 timeout
049.980 Send DATA 5 7, ID 10069
050.108 **** Receiver Error, Bad CRC Checksum
050.315 Send DATA 6 7, ID 10070
050.363 Recv DATA 10 4, ID 20074
050.585 Send DATA 7 7, ID 10071
050.634 **** Receiver Error, Bad CRC Checksum
050.856 Send DATA 8 7, ID 10072
050.888 Recv DATA 12 4, ID 20076
051.110 Send DATA 9 7, ID 10073
051.142 Recv DATA 13 4, ID 20077
051.381 Send DATA 10 7, ID 10074
051.414 Recv DATA 14 5, ID 20078
051.637 Send DATA 11 7, ID 10075
051.685 Recv DATA 8 6, ID 20072
051.686 .... 73 packets received, 2933 bps, 36.66%, Err 38 (9.3e-05)
051.909 Send DATA 12 8, ID 10076
051.941 Recv DATA 9 7, ID 20073
052.166 Send DATA 13 9, ID 10077
052.214 **** Receiver Error, Bad CRC Checksum
052.434 Send DATA 14 9, ID 10078
052.467 Recv DATA 11 9, ID 20075
052.691 Send DATA 15 9, ID 10079
052.738 **** Receiver Error, Bad CRC Checksum
052.961 Send DATA 16 9, ID 10080
052.993 Recv DATA 13 10, ID 20077
053.230 Send DATA 17 9, ID 10081
053.262 Recv DATA 14 10, ID 20078
053.421 ---- DATA 11 timeout
053.421 Send DATA 11 9, ID 10075
053.517 Recv DATA 15 10, ID 20079
053.756 Send DATA 12 9, ID 10076
053.789 Recv DATA 16 10, ID 20080
054.011 Send DATA 13 9, ID 10077
054.060 **** Receiver Error, Bad CRC Checksum
054.282 Send DATA 14 9, ID 10078
054.315 **** Receiver Error, Bad CRC Checksum
054.554 Send DATA 15 9, ID 10079
054.586 Recv DATA 12 10, ID 20076
054.809 Send DATA 16 9, ID 10080
054.841 **** Receiver Error, Bad CRC Checksum
055.080 Send DATA 17 9, ID 10081
055.112 Recv DATA 14 12, ID 20078
055.335 Send DATA 18 9, ID 10082
055.383 Recv DATA 15 13, ID 20079
055.606 Send DATA 19 9, ID 10083
055.638 Recv DATA 16 13, ID 20080
055.861 Send DATA 20 9, ID 10084
055.894 Recv DATA 17 13, ID 20081
056.053 ---- DATA 14 timeout
056.053 Send DATA 14 9, ID 10078
056.164 Recv DATA 10 13, ID 20074
056.166 .... 75 packets received, 2770 bps, 34.62%, Err 44 (9.9e-05)
056.386 Send DATA 15 10, ID 10079
056.434 Recv DATA 11 13, ID 20075
056.657 Send DATA 16 11, ID 10080
056.688 Recv DATA 12 13, ID 20076
056.928 Send DATA 17 12, ID 10081
056.960 Recv DATA 13 13, ID 20077
057.183 Send DATA 18 13, ID 10082
057.229 Recv DATA 14 13, ID 20078
057.451 Send DATA 19 14, ID 10083
057.483 Recv DATA 15 14, ID 20079
057.706 Send DATA 20 15, ID 10084
057.755 **** Receiver Error, Bad CRC Checksum
057.976 Send DATA 21 15, ID 10085
058.008 Recv DATA 17 16, ID 20081
058.247 Send DATA 22 15, ID 10086
058.279 Recv DATA 18 16, ID 20082
058.501 Send DATA 23 15, ID 10087
058.549 Recv DATA 12 16, ID 20076
058.691 ---- DATA 17 timeout
058.692 Send DATA 17 15, ID 10081
058.803 Recv DATA 13 16, ID 20077
059.027 Send DATA 18 15, ID 10082
059.075 Recv DATA 14 16, ID 20078
059.299 Send DATA 19 15, ID 10083
059.348 Recv DATA 15 16, ID 20079
059.569 Send DATA 20 15, ID 10084
059.602 Recv DATA 16 16, ID 20080
059.604 .... 81 packets received, 2817 bps, 35.21%, Err 46 (9.7e-05)
059.828 Send DATA 21 16, ID 10085
059.877 Recv DATA 17 16, ID 20081
060.083 Send DATA 22 17, ID 10086
060.132 **** Receiver Error, Bad CRC Checksum
060.355 Send DATA 23 17, ID 10087
060.404 Recv DATA 19 18, ID 20083
060.611 Send DATA 24 17, ID 10088
060.660 **** Receiver Error, Bad CRC Checksum
060.882 Send DATA 25 17, ID 10089
060.930 Recv DATA 21 20, ID 20085
061.152 Send DATA 26 17, ID 10090
061.183 **** Receiver Error, Bad CRC Checksum
061.406 Send DATA 27 17, ID 10091
061.439 Recv DATA 23 22, ID 20087
061.680 Send DATA 28 17, ID 10092
061.712 Recv DATA 24 23, ID 20088
061.934 Send DATA 29 17, ID 10093
061.967 Recv DATA 18 24, ID 20082
061.968 .... 83 packets received, 2775 bps, 34.69%, Err 50 (1.0e-04)
062.207 Send DATA 30 18, ID 10094
062.240 Recv DATA 19 25, ID 20083
062.461 Send DATA 31 19, ID 10095
062.494 Recv DATA 20 26, ID 20084
062.732 Send DATA 32 20, ID 10096
062.764 Recv DATA 21 27, ID 20085
062.988 Send DATA 33 21, ID 10097
063.020 Recv DATA 22 28, ID 20086
063.257 Send DATA 34 22, ID 10098
063.291 Recv DATA 23 29, ID 20087
063.514 Send DATA 35 23, ID 10099
063.562 Recv DATA 24 30, ID 20088
063.786 Send DATA 36 24, ID 10100
063.818 Recv DATA 25 31, ID 20089
064.056 Send DATA 37 25, ID 10101
064.088 Recv DATA 26 32, ID 20090
064.088 .... 91 packets received, 2941 bps, 36.76%, Err 50 (9.8e-05)
064.311 Send DATA 38 26, ID 10102
064.342 Recv DATA 27 33, ID 20091
064.581 Send DATA 39 27, ID 10103
064.614 Recv DATA 28 34, ID 20092
064.834 Send DATA 40 28, ID 10104
064.867 Recv DATA 29 35, ID 20093
065.106 Send DATA 41 29, ID 10105
065.139 **** Receiver Error, Bad CRC Checksum
065.363 Send DATA 42 29, ID 10106
065.394 Recv DATA 31 37, ID 20095
065.633 Send DATA 43 29, ID 10107
065.666 Recv DATA 32 38, ID 20096
065.902 Send DATA 44 29, ID 10108
065.919 **** Receiver Error, Bad CRC Checksum
066.156 Send DATA 45 29, ID 10109
066.188 Recv DATA 34 40, ID 20098
066.429 Send DATA 46 29, ID 10110
066.476 Recv DATA 35 40, ID 20099
066.683 Send DATA 47 29, ID 10111
066.731 Recv DATA 36 40, ID 20100
066.873 ---- DATA 41 timeout
066.874 Send DATA 41 29, ID 10105
066.984 Recv DATA 30 40, ID 20094
066.985 .... 95 packets received, 2936 bps, 36.70%, Err 52 (9.8e-05)
067.225 Send DATA 42 30, ID 10106
067.258 Recv DATA 31 40, ID 20095
067.479 Send DATA 43 31, ID 10107
067.527 Recv DATA 32 40, ID 20096
067.750 Send DATA 44 32, ID 10108
067.782 Recv DATA 33 40, ID 20097
068.005 Send DATA 45 33, ID 10109
068.053 Recv DATA 34 40, ID 20098
068.275 Send DATA 46 34, ID 10110
068.324 Recv DATA 35 41, ID 20099
068.531 Send DATA 47 35, ID 10111
068.580 Recv DATA 36 42, ID 20100
068.803 Send DATA 48 36, ID 10112
068.852 Recv DATA 37 43, ID 20101
069.061 Send DATA 49 37, ID 10113
069.094 Recv DATA 38 44, ID 20102
069.095 .... 103 packets received, 3085 bps, 38.56%, Err 53 (9.7e-05)
069.334 Send DATA 50 38, ID 10114
069.367 **** Receiver Error, Bad CRC Checksum
069.587 Send DATA 51 38, ID 10115
069.620 Recv DATA 40 44, ID 20104
069.780 ---- DATA 45 timeout
069.780 Send DATA 45 38, ID 10109
069.890 Recv DATA 41 44, ID 20105
070.129 Send DATA 46 38, ID 10110
070.162 Recv DATA 42 44, ID 20106
070.385 Send DATA 47 38, ID 10111
070.418 Recv DATA 36 44, ID 20100
070.657 Send DATA 48 38, ID 10112
070.690 Recv DATA 37 44, ID 20101
070.914 Send DATA 49 38, ID 10113
070.946 Recv DATA 38 44, ID 20102
071.185 Send DATA 50 38, ID 10114
071.217 Recv DATA 39 45, ID 20103
071.218 .... 104 packets received, 3021 bps, 37.76%, Err 53 (9.4e-05)
071.441 Send DATA 51 39, ID 10115
071.488 Recv DATA 40 46, ID 20104
071.711 Send DATA 52 40, ID 10116
071.743 Recv DATA 41 47, ID 20105
071.966 Send DATA 53 41, ID 10117
072.014 Recv DATA 42 48, ID 20106
072.235 Send DATA 54 42, ID 10118
072.268 Recv DATA 43 49, ID 20107
072.491 Send DATA 55 43, ID 10119
072.523 Recv DATA 44 50, ID 20108
072.762 Send DATA 56 44, ID 10120
072.795 **** Receiver Error, Bad CRC Checksum
073.033 Send DATA 57 44, ID 10121
073.065 Recv DATA 46 52, ID 20110
073.288 Send DATA 58 44, ID 10122
073.335 Recv DATA 47 52, ID 20111
073.556 Send DATA 59 44, ID 10123
073.604 Recv DATA 48 52, ID 20112
073.748 ---- DATA 53 timeout
073.749 Send DATA 53 44, ID 10117
073.859 **** Receiver Error, Bad CRC Checksum
074.081 Send DATA 54 44, ID 10118
074.129 Recv DATA 50 52, ID 20114
074.351 Send DATA 55 44, ID 10119
074.383 Recv DATA 51 52, ID 20115
074.607 Send DATA 56 44, ID 10120
074.655 Recv DATA 45 52, ID 20109
074.656 .... 110 packets received, 3047 bps, 38.08%, Err 56 (9.4e-05)
074.880 Send DATA 57 45, ID 10121
074.913 Recv DATA 46 52, ID 20110
075.136 Send DATA 58 46, ID 10122
075.168 Recv DATA 47 52, ID 20111
075.408 Send DATA 59 47, ID 10123
075.439 Recv DATA 48 52, ID 20112
075.662 ---- DATA 53 timeout
075.663 Send DATA 53 48, ID 10117
075.711 Recv DATA 49 52, ID 20113
075.934 Send DATA 54 49, ID 10118
075.983 Recv DATA 50 52, ID 20114
076.192 Send DATA 55 50, ID 10119
076.224 **** Receiver Error, Bad CRC Checksum
076.462 Send DATA 56 50, ID 10120
076.495 Recv DATA 52 52, ID 20116
076.716 Send DATA 57 50, ID 10121
076.764 Recv DATA 46 52, ID 20110
076.988 Send DATA 58 50, ID 10122
077.020 Recv DATA 47 52, ID 20111
077.243 Send DATA 59 50, ID 10123
077.275 Recv DATA 48 52, ID 20112
077.435 ---- DATA 53 timeout
077.436 Send DATA 53 50, ID 10117
077.547 Recv DATA 49 52, ID 20113
